Year,Quarter,Category,Name,RegisteredUsers
2024,2,states,karnataka,45290606
2024,2,states,andhra pradesh,35303719
2024,2,states,rajasthan,34773619
2024,2,states,west bengal,32540397
2024,2,states,telangana,32232171
2024,2,states,tamil nadu,31818880
2024,2,states,madhya pradesh,29324466
2024,2,states,gujarat,28439885
2024,2,districts,bengaluru urban,18127475
2024,2,districts,pune,11964579
2024,2,districts,thane,7591749
2024,2,districts,jaipur,7522194
2024,2,districts,mumbai suburban,7325715
2024,2,districts,hyderabad,6138190
2024,2,districts,ahmadabad,5693015
2024,2,districts,rangareddy,5331711
2024,2,districts,surat,4747919
2024,2,districts,north twenty four parganas,4746814
2024,2,pincodes,201301,1021560
2024,2,pincodes,110059,860657
2024,2,pincodes,560068,780422
2024,2,pincodes,421302,772632
2024,2,pincodes,122001,679107
2024,2,pincodes,500072,673094
2024,2,pincodes,110092,664004
2024,2,pincodes,110086,606637
2024,2,pincodes,121004,593014
2024,2,pincodes,201009,569781
2024,4,states,maharashtra,71807805
2024,4,states,uttar pradesh,70474113
2024,4,states,karnataka,45917653
2024,4,states,rajasthan,36828375
2024,4,states,west bengal,34750181
2024,4,states,tamil nadu,33966610
2024,4,states,bihar,33345285
2024,4,states,madhya pradesh,32876660
2024,4,states,telangana,31726856
2024,4,states,andhra pradesh,29984431
2024,4,districts,bengaluru urban,18101416
2024,4,districts,pune,12734314
2024,4,districts,thane,7300941
2024,4,districts,mumbai suburban,6875379
2024,4,districts,rangareddy,5988320
2024,4,districts,hyderabad,5916910
2024,4,districts,ahmedabad,5702922
2024,4,districts,chennai,5541760
2024,4,districts,jaipur,5371681
2024,4,districts,north twenty four parganas,5085095
2024,4,pincodes,201301,964283
2024,4,pincodes,421302,871910
2024,4,pincodes,110059,826819
2024,4,pincodes,500072,755978
2024,4,pincodes,452001,709324
2024,4,pincodes,410501,683435
2024,4,pincodes,560068,663903
2024,4,pincodes,121004,661818
2024,4,pincodes,201009,660474
2024,4,pincodes,110092,654020
2023,3,states,maharashtra,63150997
2023,3,states,uttar pradesh,51870932
2023,3,states,karnataka,40634390
2023,3,states,andhra pradesh,31493897
2023,3,states,rajasthan,30997182
2023,3,states,west bengal,28966414
2023,3,states,telangana,28896668
2023,3,states,tamil nadu,28405436
2023,3,states,madhya pradesh,26109033
2023,3,states,gujarat,25383429
2023,3,districts,bengaluru urban,16382332
2023,3,districts,pune,10780092
2023,3,districts,thane,6802106
2023,3,districts,jaipur,6745507
2023,3,districts,mumbai suburban,6560867
2023,3,districts,hyderabad,5543537
2023,3,districts,ahmadabad,5105557
2023,3,districts,rangareddy,4809474
2023,3,districts,north twenty four parganas,4241525
2023,3,districts,surat,4238878
2023,3,pincodes,201301,916333
2023,3,pincodes,110059,772107
2023,3,pincodes,560068,703693
2023,3,pincodes,421302,688520
2023,3,pincodes,122001,609934
2023,3,pincodes,500072,609887
2023,3,pincodes,110092,598195
2023,3,pincodes,110086,540985
2023,3,pincodes,121004,529674
2023,3,pincodes,201009,509567
2023,1,states,maharashtra,58470784
2023,1,states,uttar pradesh,47806049
2023,1,states,karnataka,37681426
2023,1,states,andhra pradesh,29065863
2023,1,states,rajasthan,28523031
2023,1,states,telangana,26804259
2023,1,states,west bengal,26732895
2023,1,states,tamil nadu,26270663
2023,1,states,madhya pradesh,24002818
2023,1,states,gujarat,23436230
2023,1,districts,bengaluru urban,15290372
2023,1,districts,pune,10037022
2023,1,districts,thane,6314618
2023,1,districts,jaipur,6247095
2023,1,districts,mumbai suburban,6095695
2023,1,districts,hyderabad,5176899
2023,1,districts,ahmadabad,4734630
2023,1,districts,rangareddy,4483193
2023,1,districts,north twenty four parganas,3926974
2023,1,districts,surat,3919829
2023,1,pincodes,201301,851451
2023,1,pincodes,110059,716856
2023,1,pincodes,560068,658173
2023,1,pincodes,421302,636458
2023,1,pincodes,500072,570652
